Opportunity Number,Division Name,Property Name,Opp Status,Start Date,Weighted Pipeline,Probability,Estimated $,Opportunity Name,Estimated Labor Hours,Weighted Hours,Last Activity Date,Proposed Date
1836,Construction,Hill Residence,Bidding,04/01/26,3411.63,0.9,3790.7,Hill - Landscape Phase 3 - Rev 1,23.75,21.375,02/17/2026,
1890,Construction,Amanda Hason Residence,Bidding,04/01/26,11944.632,0.4,29861.58,Landscape Renovation - Rev 1,134,53.6,,
1876,Construction,Brandy Clevette Residence,Bidding,03/30/26,7662.525,0.5,15325.05,Landscape Renovation - Rev 1,106,53,03/04/2026,
1809,Construction,B McKenzie Residence,Bidding,03/16/26,22395.295,0.65,34454.3,Cedar Hedge Replacement,158,102.7,02/20/2026,
1812,Construction,Prairie West Centre Ltd.,Bidding,03/16/26,16943.067,0.85,19933.02,A&W - Rock Mulch,114.5,97.325,,
1402,Construction,Leanne Plewes Residence,Bidding,03/01/26,80054.4,0.75,106739.2,Landscape Renovation - Phase 1,429.5,322.125,,
1623,Construction,Trevor Morhaliek,Bidding,03/01/26,23192.58,0.5,46385.16,Landscape Renovation Quote,323,161.5,03/13/2026,
1629,Irrigation/Lighting,Petraroia Residence,Bidding,01/26/26,0,0,2181.51,Transformer Replacement,2,0,03/06/2026,
1771,Residential Maintenance,McPhee Residence,Bidding,10/06/26,783,0.9,870,2026 Maintenance Agreement ,12,10.8,,
1772,Residential Maintenance,Gibbon Residence,Bidding,10/06/26,126.36,0.9,140.4,2026 Maintenance Agreement,1.56,1.404,,
1764,Residential Maintenance,Annette Brower,Bidding,09/19/26,1539,0.9,1710,2026 Maintenance Agreement ,24,21.6,,
1769,Residential Maintenance,Smith Residence,Bidding,09/16/26,783,0.9,870,2026 Maintenance Agreement (Fall Cleanup & Irrigation) ,12,10.8,,
1758,Residential Maintenance,Pynn Residence,Bidding,05/28/26,4953.375,0.9,5503.75,2026 Maintenance Agreement ,72,64.8,,
1856,Residential Maintenance,Yeo Residence,Bidding,05/05/26,0,0,440.4,Full Lawn Start Estimate,3.5,0,,
1724,Residential Maintenance,Sehgal Residence,Bidding,04/01/26,9729.513,0.9,10810.57,2026 Maintenance Agreement ,123,110.7,02/14/2026,
2005,Residential Maintenance,Krabben Residence,Bidding,04/01/26,3300,1,3300,Hedge Trim,40,40,,
1745,Residential Maintenance,C.F. Mineral Research Ltd.,Bidding,03/01/26,12298.5,0.9,13665,2026 Maintenance Agreement ,177,159.3,,
1753,Residential Maintenance,Angela Hohmann Residence,Bidding,03/01/26,573.75,0.9,637.5,2026 Maintenance Agreement ,4,3.6,,
1792,Residential Maintenance,Kropp Residence,Bidding,03/01/26,711.25,0.25,2845,2026 Maintenance Agreement,32.5,8.125,,
1797,Residential Maintenance,Robinson Residence,Bidding,03/01/26,1224.38,1,1224.38,2026 Maintenance Agreement,16,16,,
1774,Residential Maintenance,Wasylyk Residence,Bidding,03/01/26,121.5,0.9,135,2026 Maintenance Agreement,1.5,1.35,,
1635,Residential Maintenance,Kates Residence,Bidding,03/01/26,630,0.5,1260,Arborist Services,0,0,02/04/2026,
1969,Commercial Maintenance,Thera at McKinley Beach,Delivered,05/01/26,7180,0.5,14360,2026 Maintenance Agreement,188,94,,03/24/26
924,Commercial Maintenance,The Rise,Delivered,04/01/26,948,0.1,9480,2026 Commercial Maintenance Contract (Devon),121,12.1,03/10/2026,02/10/26
1995,Commercial Maintenance,Creekside Plaza,Delivered,04/01/26,13605,1,13605,2026 Maintenance Agreement,180,180,,03/30/26
1533,Commercial Maintenance,Frind Estate Winery,Delivered,04/01/26,18765,0.9,20850,2026 Maintenance Agreement,259,233.1,,03/30/26
1506,Commercial Maintenance,CWA (Coast Appliances),Delivered,03/01/26,7996.5,0.9,8885,2026 Maintenance Agreement,109.25,98.325,02/25/2026,02/24/26
1924,Commercial Maintenance,Bosch Truck Group,Delivered,03/01/26,4883.25,0.5,9766.5,2026 Maintenance Agreement,116.98,58.49,,03/14/26
1484,Construction,469 Tina Court,Delivered,09/01/26,227362.164,0.6,378936.94,Budgetary Quotation - Landscape Installation,1597,958.2,,01/09/26
2001,Construction,Mission Flats (Devon),Delivered,05/25/26,5804.5,0.25,23218,Raised Bed Reno Budgetary Estimate,143,35.75,03/31/2026,03/31/26
1982,Construction,B. Callahan Residence,Delivered,05/18/26,4915.016,0.8,6143.77,Pathway Paver Repairs,62,49.6,03/30/2026,03/30/26
1892,Construction,2900 Acland Rd - Colony Construction,Delivered,04/06/26,48117.0975,0.75,64156.13,Landscaping and Irrigation,325,243.75,03/11/2026,03/11/26
1920,Construction,Hazen Residence,Delivered,04/06/26,86.6925,0.25,346.77,Landscape Edging Repairs,3,0.75,03/11/2026,03/11/26
1960,Construction,West Kelowna City Hall,Delivered,04/06/26,312.2,0.25,1248.8,West K City Hall - Tree Relocation,8,2,03/23/2026,03/23/26
1244,Construction,Magnolia Gardens,Delivered,04/01/26,1765.3125,0.75,2353.75,Hydroseed,2,1.5,,10/27/25
1296,Construction,Thomson R Residence,Delivered,04/01/26,8251.35,0.75,11001.8,Lawn Replacement,101,75.75,11/04/2025,11/04/25
1297,Construction,Thomson R Residence,Delivered,04/01/26,3702.505,0.5,7405.01,Back Yard Paver Patio,56,28,11/04/2025,11/04/25
1879,Construction,"(SPI) 2750 Richter & 2755 Tutt St ""Once Upon a Bookstore""",Delivered,04/01/26,4072.02,0.5,8144.04,Boxwood Replacement - Raymer Ave,49.5,24.75,03/10/2026,03/05/26
1637,Construction,"(SPI) 590 KLO Road ""Head Office""",Delivered,03/30/26,2522.51,0.5,5045.02,Parking Lot Bed Refresh,33.5,16.75,03/10/2026,03/11/26
1908,Construction,Brandy Clevette Residence,Delivered,03/30/26,6173.97,0.5,12347.94,Landscape Renovation - Rev 2,84.5,42.25,03/31/2026,03/31/26
731,Construction,Bob Brody Development,Delivered,03/23/26,34771.255,0.5,69542.51,Landscape Installation,363,181.5,04/01/2026,08/07/25
1619,Construction,Landmark 4,Delivered,03/16/26,4906.826,0.95,5165.08,Landmark 4 - Lower Level - Garden Bed Reno,36,34.2,01/21/2026,01/21/26
1621,Construction,Landmark 4,Delivered,03/16/26,3838.1995,0.95,4040.21,Landmark 4 - Lower Level West - Replanting ,31,29.45,01/22/2026,01/22/26
1866,Construction,B McKenzie Residence,Delivered,03/16/26,10241.4,0.65,15756,Cedar Hedge Replacement - Fence Option - Rev 1,36,23.4,02/24/2026,02/24/26
1915,Construction,B McKenzie Residence,Delivered,03/16/26,11831.0855,0.65,18201.67,Cedar Hedge Replacement -Cleanline Fence Option - Rev 2,86,55.9,,04/01/26
1295,Construction,Chad & Maureen Beddome Residence,Delivered,03/15/26,4108.541,0.95,4324.78,Front Yard Renovation Phase 2,28.25,26.8375,,01/20/26
1401,Construction,Michelle Knaut Residence,Delivered,03/15/26,13821.2175,0.75,18428.29,Backyard Renovation,112.5,84.375,,11/26/25
1424,Construction,Cassiar Meadows Corporate,Delivered,03/15/26,0,0,5383.13,"Unit 8, 9 & 10 Front Yard Landscaping",41,0,,11/28/25
1483,Construction,Darryl Balzer Residence,Delivered,03/15/26,6566.784,0.3,21889.28,Pond Renovation,74.5,22.35,,12/08/25
1581,Construction,Cassiar Meadows Corporate,Delivered,03/15/26,5606.97,0.3,18689.9,Corporate Garden Bed Renovation,93,27.9,02/09/2026,02/09/26
1634,Construction,Cassiar Meadows Townhouses,Delivered,03/15/26,2596.5,0.3,8655,Townhouse 1-5 Garden Bed Renovations,71,21.3,02/24/2026,02/09/26
1617,Construction,Landmark 4,Delivered,03/09/26,1498.7105,0.95,1577.59,Landmark 4 - Lower Level East - Wall Fix,16,15.2,01/21/2026,01/21/26
1499,Construction,Mission Medical Arts Strata Corp.,Delivered,03/01/26,5641.5075,0.75,7522.01,Front Bed Renovation,47.5,35.625,,03/11/26
680,Construction,Mission Flats (Devon),Delivered,03/01/26,17417.12,0.5,34834.24,Paver Pathway & Mulch,201,100.5,,02/16/26
784,Construction,Laurentian - 1395 Kelglen Building C,Delivered,03/01/26,3767.375,0.5,7534.75,Boxwood & Cedar Removal,70,35,,10/21/25
1000,Construction,Fairfield Inn & Suites Kelowna,Delivered,03/01/26,26874.224,0.4,67185.56,Landscape Renovation - Budgetary Quotation,465,186,,03/25/26
1366,Construction,The Conservatory Apartments (RealStar),Delivered,03/01/26,28183.825,0.5,56367.65,Budgetary Pricing for Landscape Improvements,377.5,188.75,,11/20/25
1615,Construction,Reid Residence,Delivered,03/01/26,2797.5,0.75,3730,Landscaping Restoration,19,14.25,,01/20/26
1618,Construction,Landmark 4,Delivered,02/09/26,0,0,971.5,Landmark 4 - Lower Level West - Wall Fix,9.5,0,01/21/2026,01/21/26
1620,Construction,Landmark 4,Delivered,02/02/26,904.4,0.95,952,Landmark 4 - Lower Level - Cedar Removal,8,7.6,01/21/2026,01/21/26
1608,Construction,Landmark 2,Delivered,02/02/26,1952.76,1,1952.76,Apex Parkade Planter Renovation - Solid Styrofoam Fill,4,4,02/06/2026,02/06/26
1359,Construction,Levee Residence,Delivered,12/29/25,0,0,9945.98,Landscape Renovations,68,0,,11/20/25
1763,Residential Maintenance,Diane Ellis Residence,Delivered,06/25/26,2138.688,0.9,2376.32,2026 Maintenance Agreement ,26.5,23.85,,03/14/26
1642,Residential Maintenance,Fraser & Barbara Campbell Residence,Delivered,03/01/26,7786.785,0.5,15573.57,2026 Maintenance Agreement,204,102,02/09/2026,02/09/26
1649,Residential Maintenance,Brunsden Residence,Delivered,03/01/26,4511.142,0.9,5012.38,2026 Maintenance Agreement ,62,55.8,,02/05/26
1676,Residential Maintenance,Heal Residence,Delivered,03/01/26,1777.5,0.9,1975,2026 Maintenance Agreement,25,22.5,02/09/2026,02/08/26
1721,Residential Maintenance,Schiller Residence,Delivered,03/01/26,9405.963,0.9,10451.07,2026 Maintenance Agreement ,131.5,118.35,,02/14/26
1729,Residential Maintenance,Stevens Residence,Delivered,03/01/26,6817.5,0.9,7575,2026 Maintenance Agreement ,103,92.7,02/16/2026,02/16/26
1746,Residential Maintenance,L. Callahan Residence,Delivered,03/01/26,5179.5,0.9,5755,2026 Maintenance Agreement ,74.5,67.05,,02/16/26
1749,Residential Maintenance,Redpath (Speer),Delivered,03/01/26,2713.5,0.9,3015,2026 Maintenance Agreement ,36,32.4,03/10/2026,03/10/26
1756,Residential Maintenance,L. Sparrow Residence,Delivered,03/01/26,5238,0.9,5820,2026 Maintenance Agreement ,72,64.8,02/16/2026,03/30/26
1843,Residential Maintenance,Davidson Residence,Delivered,03/01/26,16143.75,0.75,21525,2026 Maintenance Agreement,272,204,,03/23/26
1959,Residential Maintenance,Borland Residence,Delivered,03/01/26,291.5,0.1,2915,2026 Maintenance Agreement,37.42,3.742,,03/23/26
1963,Residential Maintenance,Ruppel Residence,Delivered,03/01/26,802,0.1,8020,2026 Maintenance Agreement,95,9.5,,03/25/26
1978,Construction,Schimer Residence,New,05/04/26,0,0.25,0,Paver Repairs,0,0,,
1871,Construction,Thomson Residence,New,03/16/26,0,0.9,0,Privacy Trees,0,0,03/25/2026,
1977,Residential Maintenance,Van Dijk Residence,New,05/25/26,0,0.1,0,Enhancement Project,0,0,,
1994,Residential Maintenance,Grafton-Taillefer Residence,New,05/01/26,0,0.5,0,Enhancement Project,0,0,03/30/2026,
1865,Residential Maintenance,M. Manders Residence,New,04/01/26,0,0.9,0,2026 Front of House Replanting,0,0,02/25/2026,
1987,Residential Maintenance,McKain Residence,New,03/29/26,0,0.75,0,Arborist Services,0,0,,
914,Commercial Maintenance,City Gate Apartments,Won,04/01/26,3842.72,1,3842.72,2026 Commercial Maintenance Contract (Devon),0,0,,03/20/26
915,Commercial Maintenance,Arran House,Won,04/01/26,5015.01,1,5015.01,2026 Commercial Maintenance Contract (Devon),0,0,,03/20/26
916,Commercial Maintenance,Malibu Apartments,Won,04/01/26,2280,1,2280,2026 Commercial Maintenance Contract (Devon),34,34,,12/01/25
920,Commercial Maintenance,Mission Flats (Devon),Won,04/01/26,36746,1,36746,2026 Commercial Maintenance Contract (Devon),586,586,,03/15/26
921,Commercial Maintenance,Okanagan Place II,Won,04/01/26,16625,1,16625,2026 Commercial Maintenance Contract (Devon),230,230,,12/01/25
929,Commercial Maintenance,(Devon) Orchard Walk 1&2,Won,04/01/26,18463.25,1,18463.25,Commercial Maintenance Contract RENEWAL,266,266,,12/01/25
930,Commercial Maintenance,(Devon) Summit View Heights,Won,04/01/26,4935.25,1,4935.25,2026 Maintenance Agreement RENEWAL,64,64,,12/01/25
931,Commercial Maintenance,(Devon) Rockwood Landing,Won,04/01/26,5272.5,1,5272.5,Commercial Maintenance Contract RENEWAL,71,71,,12/01/25
1528,Commercial Maintenance,Pinewood Villa,Won,04/01/26,13125,1,13125,2026 Maintenance Agreement,175,175,02/24/2026,02/24/26
1553,Commercial Maintenance,(SPI) 1097 Dilworth Drive,Won,04/01/26,840,1,840,2026 Maintenance Agreement ,11.2,11.2,,02/24/26
1913,Commercial Maintenance,Arran House,Won,04/01/26,1440,1,1440,Arran House - Additional Spring Cleanup,0,0,03/11/2026,03/10/26
1971,Commercial Maintenance,Iron Horse Estates,Won,03/24/26,2500,1,2500,2026 East Wall Cleanup,32,32,,03/24/26
1918,Commercial Maintenance,Ambrosi Apartments (Real Star),Won,03/16/26,542.88,1,542.88,2026 Spring Annuals Installation,2.5,2.5,,03/18/26
1942,Commercial Maintenance,The Conservatory Apartments (RealStar),Won,03/16/26,542.88,1,542.88,2026 Spring Annuals Installation,2.5,2.5,,03/18/26
1943,Commercial Maintenance,Glenmore Central (Real Star),Won,03/16/26,814.32,1,814.32,2026 Spring Annuals Installation,3,3,,03/18/26
1120,Commercial Maintenance,Prairie West Centre Ltd.,Won,03/01/26,12285,1,12285,2026 Maintenance Agreement,159,159,03/09/2026,02/04/26
1546,Commercial Maintenance,Lost Creek,Won,03/01/26,54794,1,54794,2026 Maintenance Agreement,663,663,,02/13/26
1518,Commercial Maintenance,Iron Horse Estates,Won,03/01/26,17118.91,1,17118.91,2026 Maintenance Agreement,228,228,03/23/2026,03/20/26
1527,Commercial Maintenance,"The Owners, Strata Plan KAS199",Won,03/01/26,14840,1,14840,2026 Maintenance Agreement,196,196,02/13/2026,02/12/26
1104,Commercial Maintenance,Greystokes Gardens,Won,03/01/26,11967.75,1,11967.75,2026 Maintenance Agreement,152.5,152.5,03/25/2026,02/24/26
1119,Commercial Maintenance,Strata EPS 7283 Clement Business Park,Won,03/01/26,8892,1,8892,2026 Maintenance Agreement,122,122,,03/03/26
1121,Commercial Maintenance,(Compass) Prairie West - Fabricland,Won,03/01/26,7170,1,7170,2026 Maintenance Agreement,94,94,,02/04/26
1475,Commercial Maintenance,Okanagan Housing Cooperative,Won,03/01/26,20857.5,1,20857.5,2026 Maintenance Agreement,274.5,274.5,,12/10/25
1503,Commercial Maintenance,Ambrosi Place,Won,03/01/26,6068,1,6068,2026 Maintenance Agreement,76.5,76.5,03/02/2026,01/28/26
1508,Commercial Maintenance,Canadian Red Cross Society,Won,03/01/26,5910,1,5910,2026 Maintenance Agreement ,65.17,65.17,04/01/2026,02/24/26
1509,Commercial Maintenance,Doppelmayr Canada Ltd,Won,03/01/26,7370,1,7370,2026 Maintenance Agreement,90.5,90.5,03/19/2026,02/13/26
1510,Commercial Maintenance,Mid Mountain Developments - Husky,Won,03/01/26,8940,1,8940,2026 Commercial Maintenance,111.92,111.92,03/19/2026,01/27/26
1515,Commercial Maintenance,Global Fitness,Won,03/01/26,9948.75,1,9948.75,2026 Maintenance Agreement,128.67,128.67,,02/27/26
1517,Commercial Maintenance,(Salco Mgmt) Golftown,Won,03/01/26,10234.72,1,10234.72,2026 Maintenance Agreement,131.33,131.33,01/26/2026,02/24/26
1521,Commercial Maintenance,(WestCorp) Ledge on Lakeshore,Won,03/01/26,59189,1,59189,2026 Maintenance Agreement,752,752,03/09/2026,01/25/26
1522,Commercial Maintenance,Mission Medical Arts Strata Corp.,Won,03/01/26,5190,1,5190,2026 Maintenance Agreement,71,71,,03/18/26
1525,Commercial Maintenance,Okanagan Veterinary Hospital,Won,03/01/26,7500,1,7500,2026 Maintenance Agreement,97.08,97.08,03/19/2026,02/13/26
1529,Commercial Maintenance,KAS 2279 - 1255 Bernard Ave,Won,03/01/26,5782.5,1,5782.5,2026 Maintenance Agreement,76.5,76.5,03/19/2026,03/11/26
1532,Commercial Maintenance,(JEM HTB) 275 Lawrence - Krafty Kitchen,Won,03/01/26,3095,1,3095,2026 Maintenance Agreement,40.27,40.27,,02/12/26
1535,Commercial Maintenance,"(SPI) 2900 Pandosy ""Pranify Yoga""",Won,03/01/26,4536.56,1,4536.56,2026 Maintenance Agreement,59.83,59.83,,02/24/26
1536,Commercial Maintenance,(SPI) 3110 Lakeshore - Freshslice,Won,03/01/26,4850,1,4850,2026 Maintenance Agreement,62.42,62.42,,02/24/26
1537,Commercial Maintenance,(JEM HTB) HTB Properties Inc.,Won,03/01/26,7961.56,1,7961.56,2026 Maintenance Agreement,103.9,103.9,,02/24/26
1539,Commercial Maintenance,"(W Squared) 480 Royal Ave ""The Bridge Youth Center""",Won,03/01/26,4175,1,4175,2026 Maintenance Agreement,53.83,53.83,,02/24/26
1540,Commercial Maintenance,"(SPI) 590 KLO Road ""Head Office""",Won,03/01/26,4607.03,1,4607.03,2026 Maintenance Agreement,60.92,60.92,03/15/2026,02/24/26
1542,Commercial Maintenance,(SPI) 550 Osprey - Revive Skin Care,Won,03/01/26,3177.34,1,3177.34,2026 Maintenance Agreement,41.75,41.75,,02/24/26
1543,Commercial Maintenance,(SPI) 1110 Harvey - Starbucks,Won,03/01/26,6750.97,1,6750.97,2026 Maintenance Agreement,88.33,88.33,,02/24/26
1545,Commercial Maintenance,(SPI) 439 West Ave - Kelowna Kids Co.,Won,03/01/26,3575,1,3575,2026 Maintenance Agreement,45.83,45.83,,02/24/26
1549,Commercial Maintenance,"(SPI) 4624 Lakeshore ""TBones""",Won,03/01/26,5596.64,1,5596.64,2026 Maintenance Agreement,73.25,73.25,,02/24/26
1550,Commercial Maintenance,(SPI) 2540/2544 Enterprise - Iron Nation,Won,03/01/26,8018.75,1,8018.75,2026 Commercial Maintenance,106,106,,02/24/26
1556,Commercial Maintenance,"(SPI) 1889 Spall Road ""Cobbs Bread""",Won,03/01/26,6205.98,1,6205.98,2026 Maintenance Agreement,80.92,80.92,,02/24/26
1559,Commercial Maintenance,N & T Properties,Won,03/01/26,4662.21,1,4662.21,2026 Maintenance Agreement,53.83,53.83,03/19/2026,02/25/26
1568,Commercial Maintenance,Kal Tire - Leckie,Won,03/01/26,8185.65,1,8185.65,2026 Maintenance Agreement,104.7,104.7,01/27/2026,01/26/26
1575,Commercial Maintenance,Cassiar Meadows Corporate,Won,03/01/26,1355,1,1355,2026 Maintenance Agreement (irrigation),17,17,,03/10/26
1594,Commercial Maintenance,"(SPI) 2750 Richter & 2755 Tutt St ""Once Upon a Bookstore""",Won,03/01/26,5075,1,5075,2026 Maintenance Agreement,66.5,66.5,,02/24/26
1632,Commercial Maintenance,Strata Plan KAS3606 (West Ave Lofts),Won,03/01/26,11937.5,1,11937.5,2026 Maintenance Agreement,152,152,,01/28/26
1633,Commercial Maintenance,Meadowbrook Estates,Won,03/01/26,40268.28,1,40268.28,2026 Maintenance Agreement,504.5,504.5,,01/28/26
1877,Commercial Maintenance,Bill Blenkhorn,Won,03/01/26,780,1,780,2026 Maintenance,10,10,,03/04/26
1883,Commercial Maintenance,Mountain Lake Industrial Park - Matrix (DWELL),Won,03/01/26,9357.5,1,9357.5,2026 Maintenance Agreement,122,122,,03/11/26
1884,Commercial Maintenance,Dwell EPS9906 (Pier Mac Way/Quail Ridge Business Centre),Won,03/01/26,15552.82,1,15552.82,2026 Maintenance Agreement,194,194,03/19/2026,03/11/26
1909,Commercial Maintenance,Ace Plumbing & Heating,Won,03/01/26,9545,1,9545,2026 Maintenance Agreement,122,122,03/29/2026,03/19/26
1911,Commercial Maintenance,Cassiar Meadows Townhouses,Won,03/01/26,23760,1,23760,2026 Maintenance Agreement,312.5,312.5,,03/25/26
1207,Commercial Maintenance,1545 Bedford Flats 2,Won,03/01/26,6070,1,6070,2026 Maintenance Agreement (Stober),76,76,,02/16/26
1210,Commercial Maintenance,1525 Dickson - Flat 1,Won,03/01/26,6370,1,6370,2026 Maintenance Agreement (Stober - Dickson Flat),80,80,,02/16/26
1211,Commercial Maintenance,Laurentian 1395 Kelglen - Building B,Won,03/01/26,12867.5,1,12867.5,2026 Maintenance Agreement (Stober),165,165,,02/16/26
1212,Commercial Maintenance,Laurentian - 1395 Kelglen Building C,Won,03/01/26,10448.75,1,10448.75,2026 Maintenance Agreement (Stober),133.5,133.5,,02/16/26
1213,Commercial Maintenance,Laurentian - 1395 Kelglen Building D,Won,03/01/26,12830,1,12830,2026 Maintenance Agreement (Stober),166,166,,02/16/26
1214,Commercial Maintenance,Park East/Park West (Stober),Won,03/01/26,12034.39,1,12034.39,2026 Maintenance Agreement (Stober),152.75,152.75,,02/16/26
1218,Commercial Maintenance,1720 Park Central (Stober),Won,03/01/26,5470,1,5470,2026 Maintenance Agreement (Stober),68,68,,02/16/26
1221,Commercial Maintenance,1710 Park Plaza (Stober),Won,03/01/26,5470,1,5470,2026 Maintenance Agreement (Stober),68,68,,02/16/26
1223,Commercial Maintenance,Parkade 1& 2 (Stober),Won,03/01/26,6050,1,6050,2026 Maintenance Agreement (Stober),76,76,,02/16/26
1224,Commercial Maintenance,Kirshner (Stober) ,Won,03/01/26,7685,1,7685,2026 Maintenance Agreement (Stober),100.5,100.5,,02/16/26
1226,Commercial Maintenance,(Stober) District Market,Won,03/01/26,6656,1,6656,2026 Maintenance Agreement,88.5,88.5,,02/27/26
1561,Commercial Maintenance,Landmark 1,Won,03/01/26,16267.57,1,16267.57,2026 Maintenance Agreement (Stober),230.5,230.5,,02/27/26
1563,Commercial Maintenance,Landmark 2,Won,03/01/26,16258.57,1,16258.57,2026 Maintenance Agreement (Stober),230.5,230.5,,02/27/26
1565,Commercial Maintenance,Landmark 3,Won,03/01/26,11493.57,1,11493.57,2026 Maintenance Agreement (Stober),159.25,159.25,,02/27/26
1567,Commercial Maintenance,Landmark 4,Won,03/01/26,10608.57,1,10608.57,2026 Maintenance Agreement (Stober),153.75,153.75,,02/27/26
1569,Commercial Maintenance,Landmark 5,Won,03/01/26,11553.57,1,11553.57,2026 Maintenance Agreement (Stober),161.25,161.25,,02/27/26
1570,Commercial Maintenance,Landmark 6,Won,03/01/26,12828.57,1,12828.57,2026 Maintenance Agreement (Stober),178,178,,02/27/26
1571,Commercial Maintenance,Landmark 7,Won,03/01/26,13218.57,1,13218.57,2026 Maintenance Agreement (Stober),185.5,185.5,,02/27/26
1923,Commercial Maintenance,Church of Jesus Christ - Kelowna,Won,03/01/26,2660,1,2660,2026 Commercial Maintenance Contract (Spring),34,34,03/30/2026,03/16/26
1925,Commercial Maintenance,Church of Jesus Christ - West Kelowna,Won,03/01/26,2540,1,2540,2026 Commercial Maintenance Contract (Spring)),33,33,,03/16/26
